URL	Email	Billing	SSN	Ads	Location	Children	Law	Change	Choice	Aggregation
https://www.shell.com/privacy.html	2	3	3	2	3	3	2	2	1	2
http://www.chevron.com/privacystatement/	2	2	2	2	3	3	1	2	2	2
http://www.pge.com/en/about/company/privacy/customer/index.page	2	2	2	2	3	3	2	2	2	2
http://www.halliburton.com/en-US/about-us/legal/privacy-policy.page?node-id=hgeyxt9i	2	2	3	2	3	3	2	1	2	2
https://www.valero.com/en-us/PrivacyStatement	1	2	2	1	2	3	1	2	2	2
http://www.cabotcorp.com/information/privacy-policy	2	3	3	2	3	2	1	2	3	2
http://www.eastman.com/Pages/Privacy_Policy.aspx	2	3	3	2	3	3	1	2	1	2
http://www.oci.nl/privacy/	2	3	3	2	3	3	2	2	1	2
https://www.teck.com/assets/legal/privacy-policy	2	3	3	3	3	3	1	2	1	2
http://www.newmont.com/legal/	2	3	3	3	3	2	1	2	1	2
https://www.godaddy.com/legal/agreements/privacy-policy?_parkedpage	2	3	3	2	3	3	2	2	1	2
http://rgsenergy.com/privacy-policy/	2	2	2	2	3	3	2	2	2	2
https://www.heico.com/privacy-and-cookie-statement.php	2	2	3	2	3	3	2	2	1	2
http://cyberoptics.com/privacy-policy/	2	3	3	2	3	3	1	2	2	2
http://www.kelsotech.com/privacy-policy	2	2	3	2	3	3	1	2	1	2
http://www.sonicautomotive.com/privacy.htm	1	2	3	1	3	3	2	2	1	2
https://assets.adm.com/Privacy-Notice/ADM_ADM.com_PrivacyPolicy_English_092118.pdf	2	3	3	2	3	3	1	2	1	2
http://www.cokecce.com/legal/privacy-policy	2	3	3	2	3	3	1	2	2	2
http://www.bassettfurniture.com/customer-service/privacy-and-terms.asp	1	3	3	1	3	1	1	1	2	2
http://www.tempurpedic.com/customer-service/privacy-policy.asp	2	2	3	2	3	3	2	2	2	2
http://www.endo.com/privacy-legal/endo-privacy-policy-gdpr-addendum	2	3	3	2	3	3	2	2	1	2
https://www.symmetrysurgical.com/en/content/privacy-policy	2	3	3	2	3	3	2	2	2	2
https://lunainc.com/privacy-policy/	2	3	3	2	3	3	2	2	1	2
http://www.nantkwest.com/privacy-policy	2	3	3	2	3	3	1	2	1	2
http://www.cryolife.com/privacy-policy	2	3	3	2	3	3	2	2	2	2
https://dressbarn.custhelp.com/app/answers/detail/a_id/342	2	3	3	2	3	3	2	2	2	2
https://www.sears.com/en_us/customer-service/policies/privacy-policy.html	2	2	3	2	3	3	2	2	2	2
http://www.libertymedia.com/privacy.html	2	3	3	3	3	3	1	2	1	2
http://www.travelport.com/Privacy-Policy/Travelport%20GDS	2	2	3	2	3	3	2	2	2	2
https://www.ihgplc.com/services/privacy-statement#cookies-and-other-tracking-technologies	2	2	3	2	2	3	2	2	2	2
http://www.t-mobile.com/company/website/privacypolicy.aspx	1	2	2	2	2	3	2	2	2	2
http://www.clearone.com/privacy-policy	2	3	3	2	3	3	1	2	2	2
http://www.hktvmall.com/hktv/en/privacy-policy	1	2	2	1	1	2	1	1	2	2
http://www.orange.com/en/Footer/legal-matters/legal/privacy-policy	2	3	3	3	3	3	2	2	2	2
http://www.alaskacommunications.com/Privacy.aspx	2	2	2	2	2	3	1	2	2	2
http://www.cmsenergy.com/privacy-statement/default.aspx	2	3	3	3	3	3	1	2	3	2
https://www.cleco.com/privacy-policy	2	2	2	2	3	3	2	1	1	2
https://www.transalta.com/terms-and-conditions-of-use/	2	3	3	2	3	2	1	1	1	2
http://www.ormat.com/privacy-policy	2	2	3	2	3	3	1	1	2	2
https://oge.com/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOItjAycDTxNjLzcvY1cDRy9XVwCTQNcDD2NzYAKIoEKDHAARwNC-sP1o8BK8JhQkBthkO6oqAgArHFgDg!!/dl5/d5/L2dJQSEvUUt3QS80SmlFL1o2XzgyMEMwSTQySk9RN0IwQUNFUTExNDgxMDM0	2	2	3	2	3	3	1	1	1	2
