URL	Email	Billing	SSN	Ads	Location	Children	Law	Change	Choice	Aggregation
https://www.abilityone.gov/privacy.html	2	2	3	2	3	2	2	1	1	2
https://www.access-board.gov/the-board/policies/privacy-policy	2	3	3	2	3	2	2	2	1	2
https://www.acf.hhs.gov/privacy-policy	2	3	3	2	3	3	1	1	1	2
https://acl.gov/privacy	2	3	3	2	3	2	1	2	1	2
https://www.uscourts.gov/privacy-security-policy	2	3	3	2	3	3	1	1	1	2
https://www.achp.gov/privacy-policy	2	3	3	3	3	3	2	2	1	2
https://www.usagm.gov/privacy-policy/	2	3	3	2	3	2	1	2	1	2
https://www.ahrq.gov/policy/electronic/privacy/index.html	2	3	3	2	3	3	2	1	1	2
https://www.usaid.gov/privacy-policy	2	3	3	2	3	2	1	1	1	2
https://www.atsdr.cdc.gov/privacy.html	2	3	3	2	3	3	1	2	1	2
https://www.ams.usda.gov/about-ams/privacy	2	3	3	2	3	3	1	1	1	2
https://www.usda.gov/privacy-policy	2	3	3	2	3	3	1	1	1	2
https://www.afreserve.com/privacy	2	3	3	2	3	3	1	1	1	2
https://www.ttb.gov/about-ttb/privacy-policy	2	3	3	2	3	2	2	2	1	2
https://www.justice.gov/doj/privacy-policy	2	3	3	2	3	2	1	1	1	2
https://www.abmc.gov/privacy-policy	2	3	3	2	3	3	1	1	2	2
https://www.nationalservice.gov/privacy	2	3	2	2	3	2	2	2	1	2
https://www.amtrak.com/planning-booking/policies/privacy-policy.html	2	2	3	2	3	3	1	2	2	2
https://www.arc.gov/ARCPrivacyPolicy.asp	2	3	3	2	3	3	1	1	1	2
https://www.aoc.gov/privacy-statement	2	3	3	2	3	3	1	1	1	2
https://www.archives.gov/global-pages/privacy.html	2	3	3	2	3	2	1	2	2	2
https://www.arctic.gov/admin.html	2	3	3	2	3	2	1	2	1	2
https://www.afrh.gov/privacy-policy	2	3	3	2	3	3	1	1	1	2
https://www.state.gov/privacy-policy/	2	3	3	2	3	3	2	2	2	2
https://www.army.mil/privacy/	2	3	3	2	3	3	1	1	2	2
https://www.usace.army.mil/Privacy-and-Security/	2	3	3	2	3	3	1	1	2	2
https://www.niams.nih.gov/privacy-statement	2	3	3	2	3	2	2	2	2	2
https://www.bpa.gov/Contact/website/Pages/Privacy-Policy.aspx	2	2	3	2	3	2	1	1	1	2
https://www.usbg.gov/privacy-policy	2	3	3	2	3	3	1	1	1	2
https://www.consumerfinance.gov/privacy/	2	2	3	2	3	3	2	2	2	2
https://www.bea.gov/privacy	2	2	3	2	3	3	1	2	1	2
https://www.moneyfactory.gov/privacy.html	2	2	3	2	3	3	1	1	1	2
https://www.doi.gov/privacy	2	3	3	2	3	3	1	2	1	2
https://www.federalregister.gov/reader-aids/government-policy-and-ofr-procedures/privacy	2	3	3	2	3	2	1	1	1	2
https://www.dol.gov/general/privacynotice	2	3	3	2	3	3	2	1	1	2
https://stats.bls.gov/bls/pss.htm	2	3	3	2	3	3	2	2	1	2
https://www.boem.gov/Privacy-Policy/	2	3	3	2	3	2	1	1	2	2
https://www.bop.gov/website/privacy_policy.jsp	2	3	3	2	3	2	1	1	1	2
https://www.doi.gov/privacy/	2	3	3	2	3	3	1	2	1	2
https://www.bsee.gov/bsee/privacy-policy	2	3	3	2	3	3	1	2	1	2
